country,year,emissions
Gambia,1951.0,0.053730352
Germany,1951.0,8.40222282
Ghana,1951.0,0.172203781
Gibraltar,1951.0,4.973919222
Greece,1951.0,0.59890618
Greenland,1951.0,4.22192844
Grenada,1951.0,0.143567522
Guadeloupe,1951.0,0.309715203
Guatemala,1951.0,0.196969145
Guinea-Bissau,1951.0,0.00695191
Guyana,1951.0,0.675361354
Haiti,1951.0,0.040298551
Honduras,1951.0,0.228427883
"Hong Kong, China",1951.0,0.76534492
Hungary,1951.0,2.342737799
Iceland,1951.0,4.441752473
India,1951.0,0.184486467
Indonesia,1951.0,0.123688741
Iran,1951.0,0.389308494
Iraq,1951.0,0.410933085
Ireland,1951.0,3.600445091
Israel,1951.0,2.158119485
Italy,1951.0,1.044761468
Jamaica,1951.0,0.362400801
Japan,1951.0,1.474733602
Jordan,1951.0,0.32025451
Kenya,1951.0,0.223284193
Kuwait,1951.0,0.715373
Lebanon,1951.0,0.967342147
Liberia,1951.0,0.047556719
Libya,1951.0,0.162918574
Luxembourg,1951.0,30.33637045
Madagascar,1951.0,0.058927863
Malta,1951.0,0.820236185
Martinique,1951.0,0.359397045
Mauritius,1951.0,0.275148616
Mexico,1951.0,1.220386261
Mongolia,1951.0,0.369509116
Morocco,1951.0,0.319563419
Mozambique,1951.0,0.142495236
Myanmar,1951.0,0.05249116
Nepal,1951.0,0.003503658
Netherlands,1951.0,5.420427773
New Caledonia,1951.0,4.391627391
New Zealand,1951.0,4.197894173
Nicaragua,1951.0,0.151483284
Nigeria,1951.0,0.0437997
Norway,1951.0,2.874940154
Pakistan,1951.0,0.173524682
Panama,1951.0,0.62831202
Papua New Guinea,1951.0,0.036046289
Paraguay,1951.0,0.031526094
Peru,1951.0,0.610860922
Philippines,1951.0,0.186642515
Poland,1951.0,4.815386355
Portugal,1951.0,0.640530736
Qatar,1951.0,14.15340544
Reunion,1951.0,0.113152572
Romania,1951.0,1.356243008
Russia,1951.0,4.38495398
Samoa,1951.0,0.043559009
Sao Tome and Principe,1951.0,0.061992437
Saudi Arabia,1951.0,0.0
Sierra Leone,1951.0,0.049636956
Slovak Republic,1951.0,5.699199323
Somalia,1951.0,0.020603471
South Africa,1951.0,4.658954551
Spain,1951.0,1.174026576
Sri Lanka,1951.0,0.185040684
Sudan,1951.0,0.096791377
Suriname,1951.0,1.053975839
Swaziland,1951.0,0.013144483
Sweden,1951.0,4.729977267
Switzerland,1951.0,2.605149094
Syria,1951.0,0.109056109
Taiwan,1951.0,0.595483376
Tanzania,1951.0,0.057004505
Thailand,1951.0,0.051662155
Togo,1951.0,0.017997424
Tonga,1951.0,0.148715973
Trinidad and Tobago,1951.0,3.883856928
Tunisia,1951.0,0.383347695
Turkey,1951.0,0.466217951
Uganda,1951.0,0.026256171
United Kingdom,1951.0,10.76864341
United States,1951.0,16.33665442
Uruguay,1951.0,1.161065733
Venezuela,1951.0,8.963270703
Afghanistan,1952.0,0.01090342
Albania,1952.0,0.294650131
Algeria,1952.0,0.425993246
Angola,1952.0,0.07253909
Argentina,1952.0,2.022216299
Australia,1952.0,7.002081852
Austria,1952.0,3.188072669
Bahamas,1952.0,0.945643898
Bahrain,1952.0,10.76383952
Bangladesh,1952.0,0.032233205
Barbados,1952.0,0.400752321
Belgium,1952.0,9.591278819
Belize,1952.0,0.35018305
Bermuda,1952.0,2.767367617
Bolivia,1952.0,0.181740636
Brazil,1952.0,0.434654088
Brunei,1952.0,5.966138466
Bulgaria,1952.0,1.288567777
Cameroon,1952.0,0.060923987
Canada,1952.0,10.98830305
Cape Verde,1952.0,0.197591539
Chile,1952.0,1.679108786
China,1952.0,0.221810341
Colombia,1952.0,0.680641569
"Congo, Dem. Rep.",1952.0,0.164196014
Costa Rica,1952.0,0.379084177
Cuba,1952.0,1.017943102
Cyprus,1952.0,0.622415921
Denmark,1952.0,5.275271817
Djibouti,1952.0,0.394738191
Dominica,1952.0,0.140222061
Ecuador,1952.0,0.250831463
Egypt,1952.0,0.48234246
El Salvador,1952.0,0.170580584
Equatorial Guinea,1952.0,0.047259182
Ethiopia,1952.0,0.005169474
Faeroe Islands,1952.0,1.760056322
Fiji,1952.0,0.517265514
Finland,1952.0,2.115782715
France,1952.0,5.367171176
French Guiana,1952.0,0.409424201
Gambia,1952.0,0.039652357
Germany,1952.0,8.851021079
Ghana,1952.0,0.166173818
Gibraltar,1952.0,3.53090343
Greece,1952.0,0.621713542
Greenland,1952.0,4.433880966
Grenada,1952.0,0.142631156
Guadeloupe,1952.0,0.303684242
Guatemala,1952.0,0.193585036
Guinea-Bissau,1952.0,0.020467211
Guyana,1952.0,0.768208321
Haiti,1952.0,0.04401803
Honduras,1952.0,0.229138901
"Hong Kong, China",1952.0,0.720085142
Hungary,1952.0,2.838211258
Iceland,1952.0,5.250691236
India,1952.0,0.191116549
Indonesia,1952.0,0.164781188
Iran,1952.0,0.225612264
Iraq,1952.0,0.321977301
Ireland,1952.0,3.2932367
Israel,1952.0,2.523538907
Italy,1952.0,1.074464868
Jamaica,1952.0,0.384630667
Japan,1952.0,1.532500574
Jordan,1952.0,0.357599166
Kenya,1952.0,0.248165633
Kuwait,1952.0,0.0
Lebanon,1952.0,0.755490475
Liberia,1952.0,0.058455665
Libya,1952.0,0.157411056
Luxembourg,1952.0,31.46079939
Madagascar,1952.0,0.07233127
Malta,1952.0,0.771895354
Martinique,1952.0,0.401469231
Mauritius,1952.0,0.3377555
Mexico,1952.0,1.264038399
Mongolia,1952.0,0.371884846
Morocco,1952.0,0.379936769
Mozambique,1952.0,0.161893862
Myanmar,1952.0,0.063701061
Nepal,1952.0,0.003445894
Netherlands,1952.0,5.328775876
New Caledonia,1952.0,7.338680899
New Zealand,1952.0,4.681278599
Nicaragua,1952.0,0.20063576
Nigeria,1952.0,0.055650127
Norway,1952.0,2.909334187
Pakistan,1952.0,0.180128622
Panama,1952.0,0.795471861
Papua New Guinea,1952.0,0.048165953
Paraguay,1952.0,0.066185916
Peru,1952.0,0.647350147
Philippines,1952.0,0.205353619
Poland,1952.0,4.944051464
Portugal,1952.0,0.632069038
Qatar,1952.0,6.5170976
Reunion,1952.0,0.122962731
Romania,1952.0,1.58135722
Russia,1952.0,4.620236101
Samoa,1952.0,0.084866721
Sao Tome and Principe,1952.0,0.062720949
Saudi Arabia,1952.0,0.0
Sierra Leone,1952.0,0.09230266
Slovak Republic,1952.0,5.984652517
Solomon Islands,1952.0,0.033508798
Somalia,1952.0,0.020165817
South Africa,1952.0,4.953246619
Spain,1952.0,1.324117347
Sri Lanka,1952.0,0.228313163
Sudan,1952.0,0.099509558
Suriname,1952.0,1.165805742
Swaziland,1952.0,0.012850482
Sweden,1952.0,4.84700903
Switzerland,1952.0,2.346719343
Syria,1952.0,0.132874943
Taiwan,1952.0,0.74834308
Tanzania,1952.0,0.06690716
Thailand,1952.0,0.05892141
Togo,1952.0,0.030493087
Tonga,1952.0,0.143304738
Trinidad and Tobago,1952.0,4.231637401
Tunisia,1952.0,0.394518577
Turkey,1952.0,0.465517015
Uganda,1952.0,0.026222923
United Kingdom,1952.0,10.42878309
United States,1952.0,15.67051997
Uruguay,1952.0,1.381071663
Venezuela,1952.0,9.225310668
Afghanistan,1953.0,0.012446975
Albania,1953.0,0.318097414
Algeria,1953.0,0.429332779
Angola,1953.0,0.062829182
Argentina,1953.0,1.929712842
Australia,1953.0,6.756088593
Austria,1953.0,3.135775803
Bahamas,1953.0,0.967597479
Bahrain,1953.0,8.081986786
Bangladesh,1953.0,0.031968649
Barbados,1953.0,0.493833811
Belgium,1953.0,9.412881519
Belize,1953.0,0.388845438
Bermuda,1953.0,2.34309766
Bolivia,1953.0,0.186934558
Brazil,1953.0,0.426320776
Brunei,1953.0,6.037779919
Bulgaria,1953.0,1.436773817
Cameroon,1953.0,0.042718866
Canada,1953.0,10.7809185
Cape Verde,1953.0,0.097079838
Chile,1953.0,1.611638797
China,1953.0,0.227836496
Colombia,1953.0,0.824821792
"Congo, Dem. Rep.",1953.0,0.176520666
Costa Rica,1953.0,0.408783877
Cuba,1953.0,0.983443967
Cyprus,1953.0,0.714137322
Denmark,1953.0,5.292330863
Djibouti,1953.0,0.440116631
Dominica,1953.0,0.069254258
Ecuador,1953.0,0.224316143
Egypt,1953.0,0.465300007
El Salvador,1953.0,0.179750233
Equatorial Guinea,1953.0,0.046905715
Ethiopia,1953.0,0.00939097
Faeroe Islands,1953.0,2.691346205
Fiji,1953.0,0.536565451
Finland,1953.0,1.828862093
France,1953.0,5.032290818
French Guiana,1953.0,0.400816208
Gambia,1953.0,0.038649651
Germany,1953.0,8.980314598
Ghana,1953.0,0.189039259
Gibraltar,1953.0,3.161828112
Greece,1953.0,0.626675671
Greenland,1953.0,4.91171098
Grenada,1953.0,0.140868518
Guadeloupe,1953.0,0.296400086
Guatemala,1953.0,0.198852777
Guinea-Bissau,1953.0,0.013392944
Guyana,1953.0,0.993322057
Haiti,1953.0,0.046500699
Honduras,1953.0,0.206573921
"Hong Kong, China",1953.0,0.769439955
Hungary,1953.0,3.281237271
Iceland,1953.0,6.064695971
India,1953.0,0.191287483
Indonesia,1953.0,0.166382074
Iran,1953.0,0.206476348
Iraq,1953.0,0.404432129
Ireland,1953.0,3.266991711
Israel,1953.0,2.615475518
Italy,1953.0,1.179794797
Jamaica,1953.0,0.411714893
Japan,1953.0,1.689234292
Jordan,1953.0,0.368647192
Kenya,1953.0,0.229683489
Kuwait,1953.0,0.0
Lebanon,1953.0,0.783734361
Liberia,1953.0,0.061232428
Libya,1953.0,0.233499499
Luxembourg,1953.0,28.7596024
Madagascar,1953.0,0.058145788
Malta,1953.0,0.735896121
Martinique,1953.0,0.392830767
Mauritius,1953.0,0.348322371
Mexico,1953.0,1.208438625
Mongolia,1953.0,0.369408299
Morocco,1953.0,0.433962699
Mozambique,1953.0,0.160431065
Myanmar,1953.0,0.072010421
Nepal,1953.0,0.00423722
Netherlands,1953.0,5.314305299
New Caledonia,1953.0,6.13343155
New Zealand,1953.0,4.195067193
Nicaragua,1953.0,0.202401931
Nigeria,1953.0,0.061055012
Norway,1953.0,2.911169643
Pakistan,1953.0,0.17999602
Panama,1953.0,0.771341065
Papua New Guinea,1953.0,0.053759196
Paraguay,1953.0,0.076045914
Peru,1953.0,0.670624384
Philippines,1953.0,0.197258387
Poland,1953.0,5.273259289
Portugal,1953.0,0.69555022
Qatar,1953.0,11.46012398
