VtId,NameId,UpBytes,DownBytes,StatTime,DeviceName,
100,2915,1310914,12183534,1523636400,Hp,
100,923,219146,6530717,1523636400,Dell,
100,932,414960,8758452,1523636400,juniper,
100,923,246434,2456564,1523636400,Dell,
106,2914,46,0,1523790300,Dell_2,
100,2915,7819658,111171864,1523577000,Hp,
100,923,175639167,5879494220,1523577000,Dell,
100,932,13608034,261548431,1523577000,juniper,
100,923,24050632,351837336,1523577000,Dell,
100,932,130310200,1272015034,1523577000,juniper,
100,923,12069910,384849542,1523577000,Dell,
100,2914,55092214,1226895924,1523577000,Dell_2,
100,2915,16052333,157135748,1523577000,Hp,
120,923,1522567,23425721,1523577000,Dell,
120,932,38002102,1359801154,1523577000,juniper,
120,923,2848819,55624627,1523577000,Dell,
120,2914,4595856,73242196,1523577000,Dell_2,
120,2915,27938162,293069212,1523577000,Hp,
120,923,2620530,85080034,1523577000,Dell,
120,932,13424151,316481239,1523577000,juniper,
120,923,3868367,37010709,1523577000,Dell,
106,2914,7794118,110763198,1523577000,Dell_2,
106,2915,175059928,5862954734,1523577000,Hp,
106,923,13568597,260960418,1523577000,Dell,
106,932,23734032,349780109,1523577000,juniper,
106,923,129955484,1270250305,1523577000,Dell,
106,2914,11992270,382283242,1523577000,Dell_2,
106,2915,54956095,1225137186,1523577000,Hp,
106,923,15889807,156008459,1523577000,Dell,
107,932,2,0,1523724000,juniper,
100,923,3039887,50495908,1523724000,Dell,
100,2914,78391684,2857604765,1523724000,Dell_2,
100,2915,3050315,52157234,1523724000,Hp,
100,923,12993498,248153173,1523724000,Dell,
100,932,44027282,427084346,1523724000,juniper,
100,923,9512463,310874738,1523724000,Dell,
100,2914,20755668,464692784,1523724000,Dell_2,
100,2915,11778795,117845701,1523724000,Hp,
120,923,3000592,49836541,1523724000,Dell,
120,932,77290663,2811703489,1523724000,juniper,
120,923,3001917,51335561,1523724000,Dell,
120,2914,12829505,244410311,1523724000,Dell_2,
120,2915,43220125,418365635,1523724000,Hp,
120,923,9389429,306150850,1523724000,Dell,
120,932,20387593,455426632,1523724000,juniper,
120,923,11590723,116229981,1523724000,Dell,
102,932,2,0,1523724000,juniper,
102,2914,0,0,1523724000,Dell_2,
102,2915,19,0,1523724000,Hp,
102,923,1,0,1523724000,Dell,
102,932,9,0,1523724000,juniper,
107,923,129045,2082986,1523724000,Dell,
107,2914,3510822,124407520,1523724000,Dell_2,
107,2915,225474,3322207,1523724000,Hp,
107,923,517243,9115635,1523724000,Dell,
107,932,2445722,26251663,1523724000,juniper,
107,923,388711,12530313,1523724000,Dell,
107,2914,1089276,22892013,1523724000,Dell_2,
107,2915,456318,4671216,1523724000,Hp,
107,923,6,0,1523829900,Dell,
102,932,3,0,1523773200,juniper,
102,923,2,0,1523773200,Dell,
102,2915,17,0,1523773200,Hp,
102,2914,6,0,1523773200,Dell_2,
100,2915,3608303,52298563,1523773200,Hp,
100,923,85603808,2927449260,1523773200,Dell,
100,932,5959805,105717416,1523773200,juniper,
100,923,19690719,370376550,1523773200,Dell,
100,2914,38387984,416133044,1523773200,Dell_2,
100,2915,12084702,389874720,1523773200,Hp,
100,923,21812293,489156613,1523773200,Dell,
100,932,16769832,161565592,1523773200,juniper,
106,923,3556972,51366585,1523773200,Dell,
106,2914,83613787,2867553360,1523773200,Dell_2,
106,2915,5710973,102970242,1523773200,Hp,
106,923,18741463,356795421,1523773200,Dell,
106,932,37460196,408347814,1523773200,juniper,
106,923,11762939,380084202,1523773200,Dell,
